Content,Video title
Ay5K4tog5NQ,Running a Hugging Face LLM on your laptop
7BH4C6-HP14,Hugging Face GGUF Models locally with Ollama
KLFadWdomyI,An introduction to Apache Parquet
JwYwPiOh72w,Ollama has a Python library!
jXUv8mlQHq0,LLaVA 1.6 is here...but is it any good? (via Ollama)
Cim1lNXvCzY,Retrieval Augmented Generation with OpenAI/GPT and Chroma
lJJkBaO15Po,Returning consistent/valid JSON with OpenAI/GPT
Qor2VZoBib0,How does OpenAI Function Calling work?
NFgEgqua-fg,Running Mistral AI on your machine with Ollama
J7qnq-WHEgI,Converting a Jupyter Notebook to Streamlit
XFTFEKYLxyU,Langroid: Chat to a CSV file using Mixtral (via Ollama)
MiJQ_zlnBeo,"Building a local ChatGPT with Chainlit, Mixtral, and Ollama"
YDj_ScvBpKU,Running LLMs on a Mac with llama.cpp
rfr4p0srlqs,Running Mixtral on your machine with Ollama
Zgb2TjZ5zTk,Ollama adds OpenAI API support
fZj6kTwXN1U,Querying Parquet files on S3 with DuckDB
Fg8n-O0dhrI,5 ways that DuckDB makes SQL better
Cd6f86zsAyg,Ollama can run LLMs in parallel!
C-JV0VEzn-0,GPT 3.5 Chat vs Instruct
wSi0fxkH6e0,LangChain Parent-Child Retriever for better RAG
aexszHMKdy8,"Exporting CSV files to Parquet with Pandas, Polars, and DuckDB"
ocfzGBnhhDE,Few Shot Prompting with Llama2 and Ollama
q59QMugQyaQ,LLaVA: A large multi-modal language model
4Wz61w5zbCk,Constraining LLMs with Guidance AI
tvs350imHLY,Hugging Face's Text Embeddings Inference Library
iY7HuG1r5YM,Approximate Nearest Neighbours in FAISS: Cell Probe 101
kmpzp627UmE,Mistral 7B Function Calling with Ollama
qcn7YAJfCeE,User-Selected metadata in RAG Applications with Qdrant
Of8YDxYvWXY,Google Gemma 2B vs 7B with Ollama
49p4HyNFniE,Ingesting #csv files from #github into #duckdb
rzIP5Ud8FGw,Using DuckDB to analyze the data quality of Apache Parquet files
