ranking,name
1,Carlos Alcaraz
2,Novak Djoković
3,Daniil Medvedev
4,Casper Ruud
5,Stefanos Tsitsipas
6,Holger Rune
7,Andrey Rublev
8,Jannik Sinner
9,Taylor Fritz
10,Frances Tiafoe
11,Karen Khachanov
12,Félix Auger-Aliassime
13,Cameron Norrie
14,Tommy Paul
15,Borna Ćorić
16,Lorenzo Musetti
17,Hubert Hurkacz
18,Alex de Minaur
19,Alexander Zverev
20,Francisco Cerúndolo
21,Grigor Dimitrov
22,Pablo Carreño Busta
23,Denis Shapovalov
24,Jan Lennard Struff
25,Roberto Bautista Agut
26,Nicolás Jarry
27,Alexander Bublik
28,Sebastian Korda
29,Daniel Evans
30,Yoshihito Nishioka
31,Christopher Eubanks
32,Matteo Berrettini
33,Jiří Lehečka
34,Tomás Martín Etcheverry
35,Alejandro Davidovich Fokina
36,Tallon Griekspoor
37,Nick Kyrgios
38,Adrian Mannarino
39,Ben Shelton
40,Ugo Humbert
41,Andy Murray
42,Lorenzo Sonego
43,Roman Safiullin
44,Miomir Kecmanović
45,Botic van de Zandschulp
46,Yannick Hanfmann
47,J.J. Wolf
48,Emil Ruusuvuori
49,Grégoire Barrère
50,Mikael Ymer
51,Aslan Karatsev
52,Richard Gasquet
53,Márton Fucsovics
54,Laslo Djere
55,Daniel Elahi Galán
56,Brandon Nakashima
57,Mackenzie McDonald
58,Roberto Carballés Baena
59,Dušan Lajović
60,Bernabé Zapata Miralles
61,Marcos Giron
62,Sebastián Báez
63,Daniel Altmaier
64,Quentin Halys
65,Juan Pablo Varillas
66,Christopher O'Connell
67,Arthur Fils
68,Jordan Thompson
69,Zhizhen Zhang
70,Max Purcell
71,Nuno Borges
72,Corentin Moutet
73,Stan Wawrinka
74,Matteo Arnaldi
75,Alexandre Müller
76,Luca Van Assche
77,Yibing Wu
78,Albert Ramos Viñolas
79,Jack Draper
80,Sebastian Ofner
81,Alex Molčan
82,Arthur Rinderknech
83,Aleksandar Vukic
84,Marc-Andrea Hüsler
